pesticide_category,active_substance_ru,possible_english_candidate,system,reason,confidence,recommendation
herbicides,Азимсульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Амидосульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Амикарбазон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Аминопиралид,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Ацифлуорфен,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Ацифлуорфен) «БАСФ СЕ»,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Бенсульфурон-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Бентазон) «БАСФ СЕ»,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Бентазон) «Шандонг Вейфанг Рейнбоу Кемикал Ко. Лтд.»,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,биоактиватор,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Биспирибак натрия,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,"Биспирибак натрия) Кумиаи Кемикал Индастри Ко., Лтд.",,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,бромоксинил (смесь эфиров октаноата и гептаноата,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/кг никосульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/кг римсульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/кг флорасулама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/л десмедифама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/л Пиноксаден,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/л Фенмедифама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/л феноксапроп-П-этил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Галоксифоп-П-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,"Галоксифоп-П-метил) «Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд.",,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Галоксифоп-П-метил) Рейбоу Агросайенс Кфт.,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,галоксифоп-Р-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Глюфосинат аммоний,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Десмедифам,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,десмедифама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Диклосулам,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Диметенамид-Р,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Диметенамид-Р) БАСФ Корпорэйшн,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Дифлюфеникан,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Имазалил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Имазапир,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,йодосульфурон-метил-нат рий,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,йодосульфурон-метил-нат рия,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,йодосульфуронметил-нат рия,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Квизалофоп-П-тефурил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Квинмерак,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,кислоты галоксифоп-П-метила,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Клодинафоп-пропаргил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,клоквинтосет-мексил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,кломазон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Клотианидин,clothianidin,IRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
herbicides,Ленацил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,лямбда-цигалотрин,lambda-cyhalothrin,IRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
herbicides,мезосульфурон-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Метазахлор,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Метамитрон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Метамифоп,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,мефенпир-диэтил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Мефентрифлуконазол,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,МЦПА,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,МЦПА (диметиламинная соль,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,"МЦПА кислоты (калиевая, натриевая соль",,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,"МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей",,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Напропамид,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,никосульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Оксифлуорфен,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Пеларгоновая кислота,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Пеноксулам,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,пиклорам,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,пиклорам (диметилэтаноламинные соли,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Пиразосульфурон-этил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Пираклостробин,pyraclostrobin,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
herbicides,Пирафлуфен-этил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Пиридат,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Пироксасульфон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Пироксулам,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Пропизохлор,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Просульфокарб,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Просульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,римсульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,сульфометурон-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Сульфометурон-метила кислота (калиевая соль,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Тиабендазол,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,тиенкарбазон-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,тифенсульфурон-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,триасульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,трифлусульфурон-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,фенмедифам,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Фенмедифама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,феноксапроп-П-этил,fenoxaprop-P-ethyl,,candidate not found,medium,review manually; do not add JSON alias automatically
herbicides,феноксапроп-П-этил) Синтезия Кеми ГмбХ,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,флорасулам),,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,"флорасулам) «Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд.",,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,флорасулам) Альбау Юроп Сарл,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,флорасулам) Рейнбоу Кропсайенсиз Кфт.,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,флорасулама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Флуазифоп-П-бутил,fluazifop-P-butyl,,candidate not found,medium,review manually; do not add JSON alias automatically
herbicides,флукарбазон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Флукарбазон натрия,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Флуметсулам,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Флумиоксазин,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,флуроксипир,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,флуроксипир) Синтезия Кеми ГмбХ,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Флурохлоридона,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,флутриафола,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,флуфенацет,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,фомесафен,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Фомесафен (натриевая соль,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Форамсульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,хлоридазон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,хлоримурон-этил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,хлорсульфурон (диэтилэтаноламинные соли),,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,хлорсульфурона,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Цигалофоп-бутил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Циклоксидим,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Этаметсульфурон-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,этофумезат,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,азоксистробина,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Алюминия фосэтил,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Аметоктрадин,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Бензовиндифлупир,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Бензойная кислота (в виде триэтаноламинной соли,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Беномил,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Димоксистробин,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Дитианон,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Изопротиолан,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,калий азотнокислый,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,калий фосфорнокислый,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,кальция гидроксид,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,карбамид,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Касугамицин,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Комплекс полиоксинов,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Люфенурон,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,магний сернокислый,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Масло чайного дерева,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Меди гидроксид,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Меди гидроокись,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Меди сульфат,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Меди сульфат трехосновный,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Меди хлорокись,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Медь оксихлорид,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,мепикват-хлорид,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,мефеноксама,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Оксатиапипролин,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Пенконазол,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Пентиопирад,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,пираклостробина,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Поли-бета-гидроксимасля ная кислота,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Полидиметилдиаллиламм ония хлорид,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,прогексадион кальция,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Проквиназид,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,пропиконазола,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,тебуконазола,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,тетраконазол,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Триадименол,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Триадимефон,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Фенпропиморф,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Фитобактериомицин,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,флутриафола,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Фосфит натрия,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,фосэтил,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,цимоксанила,,,no high-confidence unique candidate in audit,low,needs manual review
fungicides,Эмамектин бензоат,emamectin benzoate,IRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,Bacillus firmus( I-1582)) БАСФ Корпорэйшн,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Аверсектин С,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Азадирахтин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Азоксистробин,azoxystrobin,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,Альфа-ципермeтрин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Альфа-ципермeтрин) Агрия АД,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Альфа-ципермeтрин) Ариста ЛайфСайенс Бенилюкс СПРЛ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Альфа-ципермeтрин) БАСФ Агро Б.В.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Альфа-ципермeтрин) Батор Агри Кфт.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Алюминия фосфид,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Алюминия фосфид) Детиа Дегеш ГмбХ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Алюминия фосфид) Рейнбоу Кропсайенсиз Кфт.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,ацетамиприда,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,бета-циперметрин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,бета-циперметрин) Агро-Кеми Кфт. (Венгрия,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,бета-циперметрин) ПЕТЕРС & БУРГ Кфт.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,бета-цифлутрин) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Бифентрин) ФМС Кемикал,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,бифентрина,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Бупрофезин) Ничино Юроп Ко. Лтд.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Гамма-цигалотрин) «КЕМИНОВА А/С»,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,"Гекситиазокс) Ниппон Сода Ко., Лтд",,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Диазинон,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Диоксид кремния,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Дифеноконазол,difenoconazole,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,дифеноноконазол,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Дифловидазин) «Агро-Кеми Кфт.»,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Дифлубензурон,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Дифлубензурон) Ариста ЛайфСайенс Регистрейшнс Грейт Британ Лтд.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Имазалил,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Ипродион,iprodione,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,Клофентезин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Люфенурон,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Магния фосфид,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Магния фосфид) Детиа Дегеш ГмбХ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Малатион) «КЕМИНОВА А/С»,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Матрин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Метомил,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Мефеноксам,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Никотин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Новалурон,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,пенфлуфен) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,пенцикурон,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,пенцикурон) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,пенцикурон) Рейбоу Агросайенс Кфт.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,перметрин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Пираклостробин) БАСФ Агро Б.В.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Пиретрины натуральные масляный экстракт,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Пиридабен) Ниссан Кемикал Корпорейшн,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Пиримифос-метил) СОЖАМ САС,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Пирипроксифен,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Пирипроксифен) Сумитомо Кемикал Агро Юроп С.А.С.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Протиоконазол,prothioconazole,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,Прохлораз,prochloraz,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,седаксан,sedaxane,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,седаксана,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Сера,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Спиродиклофен,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Спиромезифен) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,"Спиротетрамат) «Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд.",,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Спиротетрамат) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Спиротетрамат) Глобакем НВ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Тебуконазол,tebuconazole,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,Тебуконазол) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,тебуконазола,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Тебуфенпирад) БАСФ Агро Б.В.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Тефлутрин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Тиабендазол,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Тиаклоприд,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Тиаклоприд) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Тиофанат - метил,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,тритиконазол,triticonazole,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,Феназахин) Гован Кроп Протекшен Лимитед,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Фенитротион,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Фенитротион) Сумитомо Кемикал Агро Юроп С.А.С.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Феноксикарб,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Фенпироксимат) Ничино Юроп Ко. Лтд.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Фипронил) БАСФ Агро Б.В.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Флоникамид) ИСК Биосаенсис Юроп Н.В.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Флубендиамид) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,флудиоксанил,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Флудиоксонил,fludioxonil,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,флудиоксонила,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,флуоксастробин,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,флуоксастробин) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Флуопиколид,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Флутриафол,flutriafol,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,Фосмет) Гован Кроп Протекшен Лимитед,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Хлорпирифос) «КЕМИНОВА А/С»,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Хлорфлуазурон) ИСК Биосаенсис Юроп Н.В.,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,циперметрин) Ариста ЛайфСайенс Бенилюкс СПРЛ,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,циперметрин) ФМС Кемикал,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Ципроконазол,cyproconazole,FRAC,candidate exists only outside pesticide-system scope,medium,review manually; do not add JSON alias automatically
insecticides,Экстракт натуральных пиретринов) «РУССКИЙ ПИРЕТРУМ»,,,no high-confidence unique candidate in audit,low,needs manual review
insecticides,Эсфенвалерат) Сумитомо Кемикал Агро Юроп С.А.С.,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Bacillus firmus( I-1582)) БАСФ Корпорэйшн,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Алюминия фосфид,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Алюминия фосфид) Детиа Дегеш ГмбХ,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Алюминия фосфид) Рейнбоу Кропсайенсиз Кфт.,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Ацибензолар-С-метил,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Беномил,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,бета-цифлутрин) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Бифентрин) ФМС Кемикал,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,"ВалидамицинStreptomyce shygroscopicussubsp, «limoneus» ВКПМАС-1966",,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,г/л флудиоксанил,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Диоксид кремния,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,дифеноноконазол,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Имазалил,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Имазалил) ПЕТЕРС & БУРГ Кфт.,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Ипконазол,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Ипконазол) ЮПЛ Холдингс Кооператив Ю.А.,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,калий азотнокислый,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,калий фосфорнокислый,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,карбамид,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Карбофуран) «Агро-Кеми Кфт.»,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,магний сернокислый,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Магния фосфид,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Магния фосфид) Детиа Дегеш ГмбХ,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Масло чайного дерева,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,мефеноксама,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Оксатиапипролин,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,пенфлуфен) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Пираклостробин - протиоконазол,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,пираклостробина,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Пиримифос-метил) СОЖАМ САС,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Поли-бета-гидроксимасля ная кислота,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,протиоконазала) Байер КропСайенс АГ,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,седаксана,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,тебуконазола,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Тефлутрин,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Тиабендазол,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,Триадименол,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,флудиоксанил,,,no high-confidence unique candidate in audit,low,needs manual review
seed-treatments,флудиоксонила,,,no high-confidence unique candidate in audit,low,needs manual review
